Set_Number,Language,Weighted_Average,S_su,S_aa,S_fa,S_va,S_bu,S_pr,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_cat,S_an,S_gas_h2,S_gas_ch4,S_gas_co2,time
48,Julia,1.018532732,0.014785607,0.004550375,0.091811445,0.011230284,0.0115916,0.017084749,0.181589096,2.49E-07,0.06322913,0.172141417,0.150532132,0.306710764,0.281078246,0.029381351,0.10159252,0.031505945,0.382263354,1.122331232,0.253788065,0.436208246,0.149128034,0.785416011,0.338756404,25.61766946,0.011208208,0.011570772,0.017049642,0.181305878,0.162824259,0.004595986,0.04,0.02,1.09E-05,1.790075984,0.012249573,0.6392967
49,Julia,1.02927573,0.010960671,0.006860629,0.116374564,0.012383025,0.014479255,0.012995878,0.233537667,2.16E-07,0.059680551,0.141922088,0.122644673,0.292068862,0.292098177,0.031265415,0.117716441,0.027459204,0.458956616,1.224917884,0.222394771,0.452751185,0.162919836,0.787671509,0.346420476,25.5825936,0.012356683,0.0144511,0.012966978,0.233143486,0.134005913,0.004729664,0.04,0.02,9.29E-06,1.770687098,0.011532157,0.9685535
50,Julia,0.989474683,0.014894962,0.004969075,0.109952134,0.011026561,0.012369549,0.012778365,0.253081123,2.53E-07,0.047437223,0.142563506,0.116832746,0.34137825,0.289414603,0.029235328,0.108326534,0.031502603,0.359481456,1.083786254,0.243148997,0.423043687,0.144586505,0.748708792,0.267490758,25.61897033,0.010988207,0.012330216,0.012731905,0.252382453,0.129944155,0.00270115,0.04,0.02,1.07E-05,1.383584487,0.018167207,0.2260009
51,Julia,1.124920877,0.01174037,0.00753522,0.143378727,0.010315272,0.011685955,0.017273557,0.432642236,2.03E-07,0.058522927,0.159766013,0.142457448,0.326681327,0.386587358,0.028630815,0.13808532,0.03262852,0.480501973,1.11303442,0.215919487,0.575350774,0.128504392,0.785823793,0.382224564,25.62810261,0.01029255,0.011662426,0.017233783,0.431886065,0.15046786,0.004964475,0.04,0.02,8.56E-06,1.690552821,0.013232835,0.5283732
52,Julia,1.19382538,0.01069739,0.005276008,0.123173106,0.013109532,0.014266699,0.021497251,0.678187434,2.67E-07,0.058059656,0.13000816,0.116243531,0.276953209,0.343936664,0.028251179,0.127053727,0.032613285,0.44037294,1.246981714,0.282108616,0.487711985,0.139960982,0.715260595,0.372289897,25.5201859,0.013076189,0.01423353,0.021440096,0.676818675,0.121460102,0.003864272,0.04,0.02,1.14E-05,1.714545428,0.012535375,0.2102041
53,Julia,28.44863903,0.305757022,0.089758239,5.439529038,1.565019121,1.722698469,3.42628832,13.53444896,2.72E-07,0.062716004,0.001423283,0.146954033,0.282425186,0.249564158,0.029699884,0.097897588,0.027062678,0.349148356,0.973243126,0.01124262,0.288090166,0.019871885,0.007340536,0.148917034,25.42638146,0.934602276,1.065724592,2.009329378,8.81739312,7.43E-05,2.27E-05,0.04,0.02,1.42E-05,2.204556344,0.002107878,0.5440674
54,Julia,1.027451935,0.015357241,0.004931486,0.089091032,0.011350517,0.011550898,0.015124582,0.239159759,2.60E-07,0.057285697,0.168259359,0.144895104,0.335749479,0.291635874,0.034608511,0.101776184,0.032578662,0.390794586,1.192084039,0.263337521,0.425384706,0.132880593,0.706682445,0.310627886,25.58501084,0.011322659,0.011524983,0.015085778,0.238693982,0.157121877,0.003782011,0.04,0.02,1.12E-05,1.620767506,0.014926404,0.3093686
55,Julia,1.08106086,0.012801762,0.004844389,0.109670084,0.01318103,0.015212194,0.022509058,0.237285484,2.22E-07,0.060039458,0.166411376,0.14601216,0.322205354,0.286753086,0.033083742,0.108400298,0.029129202,0.434124815,1.201794353,0.232592905,0.498246926,0.125728696,0.901654319,0.318897803,25.62542599,0.013153697,0.01518336,0.022460265,0.236895074,0.157121533,0.004829863,0.04,0.02,9.59E-06,1.725326231,0.012755199,0.223131
56,Julia,1.155279975,0.012249774,0.005588458,0.116792176,0.009767254,0.011102691,0.01356133,0.684896016,2.46E-07,0.052974262,0.15050304,0.140118551,0.310433293,0.335998344,0.032417022,0.102047516,0.026237721,0.473223689,1.185012965,0.236543673,0.468479146,0.164709504,0.81826165,0.302260864,25.692655,0.009746858,0.0110815,0.013531728,0.683761258,0.142497475,0.006699434,0.04,0.02,1.07E-05,1.646615494,0.01247555,0.2576436
57,Julia,1.066871237,0.011180795,0.006916616,0.129120484,0.011899528,0.013471766,0.017153796,0.28205413,2.50E-07,0.05681782,0.171675477,0.150806683,0.331637528,0.285284629,0.025664645,0.114645186,0.029181338,0.46586526,0.987902536,0.209911267,0.420500994,0.157005869,0.749521178,0.317079621,25.67615223,0.011872892,0.013444202,0.017113657,0.281553169,0.161394249,0.004718689,0.04,0.02,1.08E-05,1.634763064,0.014212301,1.4320448
58,Julia,1.152753394,0.013983631,0.007479279,0.122455958,0.014611134,0.016946659,0.022178919,0.214212688,3.15E-07,0.057805187,0.160143927,0.134132349,0.267467878,0.380317587,0.032481684,0.124538747,0.042512722,0.455018653,1.253551262,0.301439719,0.511657303,0.14709431,0.90743644,0.34838744,25.54230544,0.014568315,0.01690126,0.022110976,0.213714499,0.147593497,0.002826115,0.04,0.02,1.27E-05,1.55588933,0.016563944,0.9757473
